Algebra 1,Algebra 2,Operation,Result
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 1), (0, 0)))))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, -1), (0, 0)))))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (0, 0))))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 1), (0, 0)))))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, -1), (0, 0)))))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (1, 1)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"(((((((0, 0), (1, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"(((((((0, 0), (-1, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((((0, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), ((((((0, 0), (1, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), ((((((0, 0), (-1, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), (((((0, 0), (1, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), (((((0, 0), (-1, 0)), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((((0, 0), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), (((((0, 0), (1, 0)), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), (((((0, 0), (-1, 0)), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), ((((0, 0), (1, 0)), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), ((((0, 0), (-1, 0)), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (((0, 0), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((0, 0), ((((0, 0), (1, 0)), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((0, 0), ((((0, 0), (-1, 0)), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), ((((0, 0), (1, 0)), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), ((((0, 0), (-1, 0)), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (((0, 0), (0, 0)), (0, 0)))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), ((((0, 0), (1, 0)), (0, 0)), (0, 0)))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), ((((0, 0), (-1, 0)), (0, 0)), (0, 0)))))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), ((0, 0), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"(((((0, 0), (((0, 0), (1, 0)), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"(((((0, 0), (((0, 0), (-1, 0)), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), ((0, 0), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), ((((0, 0), (((0, 0), (1, 0)), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), ((((0, 0), (((0, 0), (-1, 0)), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), ((0, 0), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), (((0, 0), (((0, 0), (1, 0)), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), (((0, 0), (((0, 0), (-1, 0)), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), ((0, 0), (0, 0))), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), (((0, 0), (((0, 0), (1, 0)), (0, 0))), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), (((0, 0), (((0, 0), (-1, 0)), (0, 0))), (0, 0))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), ((0, 0), (((0, 0), (1, 0)), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), ((0, 0), (((0, 0), (-1, 0)), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), ((0, 0), ((0, 0), (0, 0)))), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((0, 0), ((0, 0), (((0, 0), (1, 0)), (0, 0)))), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((0, 0), ((0, 0), (((0, 0), (-1, 0)), (0, 0)))), (0, 0)))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), ((0, 0), (0, 0))))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), ((0, 0), (((0, 0), (1, 0)), (0, 0))))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), ((0, 0), (((0, 0), (-1, 0)), (0, 0))))), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (0, 0))))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), (1, 0)), (0, 0))))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), (-1, 0)), (0, 0))))))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((((0, 0), ((0, 0), (1, 0))), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((((0, 0), ((0, 0), (-1, 0))), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((((0, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((((0, 0), ((0, 0), (1, 0))), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((((0, 0), ((0, 0), (-1, 0))), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((((0, 0), ((0, 0), (1, 0))), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((((0, 0), ((0, 0), (-1, 0))), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((((0, 0), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((((0, 0), ((0, 0), (1, 0))), (0, 0)), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((((0, 0), ((0, 0), (-1, 0))), (0, 0)), (0, 0))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), (((0, 0), ((0, 0), (1, 0))), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), (((0, 0), ((0, 0), (-1, 0))), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (((0, 0), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((0, 0), (((0, 0), ((0, 0), (1, 0))), (0, 0))), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((0, 0), (((0, 0), ((0, 0), (-1, 0))), (0, 0))), (0, 0)))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), (((0, 0), ((0, 0), (1, 0))), (0, 0)))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), (((0, 0), ((0, 0), (-1, 0))), (0, 0)))), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (((0, 0), (0, 0)), (0, 0)))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), (1, 0))), (0, 0)))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), (-1, 0))), (0, 0)))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), ((0, 0), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"(((((0, 0), ((0, 0), ((0, 0), (1, 0)))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"(((((0, 0), ((0, 0), ((0, 0), (-1, 0)))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), ((0, 0), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), ((((0, 0), ((0, 0), ((0, 0), (1, 0)))), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), ((((0, 0), ((0, 0), ((0, 0), (-1, 0)))), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), ((0, 0), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), (((0, 0), ((0, 0), ((0, 0), (1, 0)))), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), (((0, 0), ((0, 0), ((0, 0), (-1, 0)))), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), ((0, 0), (0, 0))), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), (1, 0)))), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), (-1, 0)))), (0, 0))))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), ((0, 0), ((0, 0), ((0, 0), (1, 0))))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), ((0, 0), ((0, 0), ((0, 0), (-1, 0))))), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), ((0, 0), ((0, 0), (0, 0)))), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0, 0), (1, 0))))), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((0, 0), ((0, 0), ((0, 0), ((0, 0), (-1, 0))))), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), ((0, 0), (0, 0))))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (1, 0)))))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (-1, 0)))))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (0, 0))))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (1, 0)))))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (-1, 0)))))))"
64D,128D,(a+b)*c,"(((((((1, 0), (-1, 1)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"(((((((0, 0), (0, 1)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"(((((((0, 0), (0, -1)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((((0, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), ((((((0, 0), (0, 1)), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), ((((((0, 0), (0, -1)), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), (((((0, 0), (0, 1)), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), (((((0, 0), (0, -1)), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((((0, 0), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), (((((0, 0), (0, 1)), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), (((((0, 0), (0, -1)), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), ((((0, 0), (0, 1)), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), ((((0, 0), (0, -1)), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (((0, 0), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((0, 0), ((((0, 0), (0, 1)), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((0, 0), ((((0, 0), (0, -1)), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), ((((0, 0), (0, 1)), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), ((((0, 0), (0, -1)), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (((0, 0), (0, 0)), (0, 0)))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), ((((0, 0), (0, 1)), (0, 0)), (0, 0)))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), ((((0, 0), (0, -1)), (0, 0)), (0, 0)))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), ((0, 0), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"(((((0, 0), (((0, 0), (0, 1)), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"(((((0, 0), (((0, 0), (0, -1)), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), ((0, 0), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), ((((0, 0), (((0, 0), (0, 1)), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), ((((0, 0), (((0, 0), (0, -1)), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), ((0, 0), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), (((0, 0), (((0, 0), (0, 1)), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), (((0, 0), (((0, 0), (0, -1)), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), ((0, 0), (0, 0))), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), (((0, 0), (((0, 0), (0, 1)), (0, 0))), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), (((0, 0), (((0, 0), (0, -1)), (0, 0))), (0, 0))))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), ((0, 0), (((0, 0), (0, 1)), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), ((0, 0), (((0, 0), (0, -1)), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), ((0, 0), ((0, 0), (0, 0)))), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((0, 0), ((0, 0), (((0, 0), (0, 1)), (0, 0)))), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((0, 0), ((0, 0), (((0, 0), (0, -1)), (0, 0)))), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), ((0, 0), (0, 0))))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), ((0, 0), (((0, 0), (0, 1)), (0, 0))))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), ((0, 0), (((0, 0), (0, -1)), (0, 0))))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), ((0, 0), ((0, 0), (0, 0))))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), (0, 1)), (0, 0))))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), ((0, 0), (((0, 0), (0, -1)), (0, 0))))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((((0, 0), ((0, 0), (0, 1))), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((((0, 0), ((0, 0), (0, -1))), (0, 0)), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((((0, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((((0, 0), ((0, 0), (0, 1))), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((((0, 0), ((0, 0), (0, -1))), (0, 0)), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), (0, 0)), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((((0, 0), ((0, 0), (0, 1))), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((((0, 0), ((0, 0), (0, -1))), (0, 0)), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((((0, 0), (0, 0)), (0, 0)), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((((0, 0), ((0, 0), (0, 1))), (0, 0)), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((((0, 0), ((0, 0), (0, -1))), (0, 0)), (0, 0))))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (0, 0)), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), (((0, 0), ((0, 0), (0, 1))), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), (((0, 0), ((0, 0), (0, -1))), (0, 0))), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), (((0, 0), (0, 0)), (0, 0))), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), (((0, 0), (((0, 0), ((0, 0), (0, 1))), (0, 0))), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), (((0, 0), (((0, 0), ((0, 0), (0, -1))), (0, 0))), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), (0, 0)), (0, 0)))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), ((0, 0), (((0, 0), ((0, 0), (0, 1))), (0, 0)))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), ((0, 0), (((0, 0), ((0, 0), (0, -1))), (0, 0)))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (((0, 0), (0, 0)), (0, 0)))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), (0, 1))), (0, 0)))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), ((0, 0), (((0, 0), ((0, 0), (0, -1))), (0, 0)))))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), ((0, 0), (0, 0))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"(((((0, 0), ((0, 0), ((0, 0), (0, 1)))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"(((((0, 0), ((0, 0), ((0, 0), (0, -1)))), (0, 0)), (0, 0)), (0, 0))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((((0, 0), ((0, 0), (0, 0))), (0, 0)), (0, 0)))"
64D,128D,(a*b)+c,"((0, 0), ((((0, 0), ((0, 0), ((0, 0), (0, 1)))), (0, 0)), (0, 0)))"
64D,128D,(a*b)-c,"((0, 0), ((((0, 0), ((0, 0), ((0, 0), (0, -1)))), (0, 0)), (0, 0)))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (((0, 0), ((0, 0), (0, 0))), (0, 0))), (0, 0))"
64D,128D,(a*b)+c,"(((0, 0), (((0, 0), ((0, 0), ((0, 0), (0, 1)))), (0, 0))), (0, 0))"
64D,128D,(a*b)-c,"(((0, 0), (((0, 0), ((0, 0), ((0, 0), (0, -1)))), (0, 0))), (0, 0))"
64D,128D,(a+b)*c,"(((((((1, 0), (0, 0)), (0, 0)), (0, 0)), (0, 0)), (0, 0)), ((0, 0), (((0, 0), ((0, 0), (0, 0))), (0, 0))))"
64D,128D,(a*b)+c,"((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), (0, 1)))), (0, 0))))"
64D,128D,(a*b)-c,"((0, 0), ((0, 0), (((0, 0), ((0, 0), ((0, 0), (0, -1)))), (0, 0))))"
64D,128D,(a+b)*c,"(((((((-1, 0), (0, 0)), (0, 0)), (0, 0)), ((0, 0), ((0, 0), (0, 0)))), (0, 0)), (0, 0))"
64D,128D,(a*b)+c,"((((0, 0), ((0, 0), ((0, 0), ((0, 0), (0, 1))))), (0, 0)), (0, 0))"
64D,128D,(a*b)-c,"((((0, 0), ((0, 0), ((0, 0), ((0, 0), (0, -1))))), (0, 0)), (0, 0))"
